name_,category_,team_,birthdate_
 坂井 達弥,J2,山形,1990/11/19
 松本 怜大,J2,山形,1990/11/21
 カミンスキー,J1,磐田,1990/11/26
 大迫 希,J3,藤枝,1990/11/27
 島田 譲,J1,長崎,1990/11/28
 セルジーニョ,J2,松本,1990/12/03
 米本 拓司,J3,FC東京,1990/12/03
 米本 拓司,J1,FC東京,1990/12/03
 アダイウトン,J1,磐田,1990/12/06
 栗山 直樹,J2,山形,1990/12/08
 富山 貴光,J2,大宮,1990/12/26
 湯澤 洋介,J2,京都,1990/12/31
 本多 勇喜,J2,京都,1991/01/02
 アレン ステバノヴィッチ,J1,湘南,1991/01/07
 田中 智大,J3,秋田,1991/01/10
 藤井 航大,J2,町田,1991/01/13
 ミッチェル デューク,J1,清水,1991/01/18
 宮城 雅史,J2,京都,1991/01/19
 中村 亮太,J3,秋田,1991/01/28
 マテイ ヨニッチ,J1,C大阪,1991/01/29
 飯尾 竜太朗,J1,長崎,1991/01/30
 藤田 息吹,J2,松本,1991/01/30
 金子 昌広,J2,金沢,1991/02/02
 ビョン ジュンボン,J2,甲府,1991/02/05
 李 栄直,J2,東京V,1991/02/08
 谷口 功,J3,鹿児島,1991/02/16
 佐々木 一輝,J3,富山,1991/02/19
 指宿 洋史,J2,千葉,1991/02/27
 マルティノス,J1,浦和,1991/03/07
 竹内 涼,J1,清水,1991/03/08
 渡辺 亮太,J3,藤枝,1991/03/11
 田口 泰士,J1,磐田,1991/03/16
 磯村 亮太,J1,長崎,1991/03/16
 磯村 亮太,J2,長崎,1991/03/16
 久富 良輔,J2,栃木,1991/03/19
 清武 功暉,J2,千葉,1991/03/20
 大﨑 淳矢,J2,山口,1991/04/02
 矢田 旭,J2,千葉,1991/04/02
 服部 康平,J2,栃木,1991/04/04
 窪田 良,J2,甲府,1991/04/08
 中山 雄登,J2,熊本,1991/04/11
 橋本 拓門,J3,福島,1991/04/11
 中西 規真,J3,YS横浜,1991/04/11
 菊池 大介,J1,浦和,1991/04/12
 重松 健太郎,J2,讃岐,1991/04/15
 野村 直輝,J2,横浜FC,1991/04/17
 可児 壮隆,J3,鳥取,1991/04/18
 野上 結貴,J1,広島,1991/04/20
 圍 謙太朗,J2,福岡,1991/04/23
 加藤 大,J2,新潟,1991/05/07
 古林 将太,J1,仙台,1991/05/11
 永井 龍,J2,松本,1991/05/23
 エベルト,J2,千葉,1991/05/23
 古田 寛幸,J3,秋田,1991/05/23
 藤井 悠太,J2,横浜FC,1991/05/25
 高木 俊幸,J1,C大阪,1991/05/25
 澤田 崇,J1,長崎,1991/05/26
 阿部 巧,J3,群馬,1991/05/26
 ロビン シモヴィッチ,J2,大宮,1991/05/29
 茨田 陽生,J2,大宮,1991/05/30
 イ ヨンジェ,J2,岡山,1991/06/08
 サムエル アウベス,J3,相模原,1991/06/14
 風間 宏希,J3,群馬,1991/06/19
 大泉 和也,J3,YS横浜,1991/06/19
 梅内 和磨,J3,盛岡,1991/06/21
 馬渡 和彰,J1,広島,1991/06/23
 イ ジョンヒョプ,J1,湘南,1991/06/24
 一森 純,J2,岡山,1991/07/02
 上原 拓郎,J2,熊本,1991/07/08
 石川 俊輝,J1,湘南,1991/07/10
 谷口 彰悟,J1,川崎F,1991/07/15
 平出 涼,J3,鹿児島,1991/07/18
 天野 純,J1,横浜FM,1991/07/19
 篠原 弘次郎,J2,福岡,1991/07/20
 茶島 雄介,J2,千葉,1991/07/20
 武田 有祐,J2,讃岐,1991/07/20
 松田 力,J2,福岡,1991/07/24
 松田 陸,J1,C大阪,1991/07/24
 梶川 裕嗣,J2,徳島,1991/07/26
 小谷 祐喜,J2,熊本,1991/07/27
 菅井 拓也,J3,沼津,1991/08/02
 大﨑 玲央,J2,神戸,1991/08/07
 大﨑 玲央,J1,神戸,1991/08/07
 安 庸佑,J1,鳥栖,1991/08/10
 徳武 正之,J3,沼津,1991/08/18
 安藤 由翔,J3,北九州,1991/08/28
 赤﨑 秀平,J1,川崎F,1991/09/01
 上松 瑛,J3,鳥取,1991/09/12
 ライアン デ フリース,J2,岐阜,1991/09/14
 北脇 健慈,J3,YS横浜,1991/09/15
 有田 光希,J2,愛媛,1991/09/23
 中美 慶哉,J2,松本,1991/09/23
 チャン ヒョンス,J1,FC東京,1991/09/28
 小野 悠斗,J2,岐阜,1991/09/28
 垣根 拓也,J3,藤枝,1991/10/03
 戸島 章,J2,横浜FC,1991/10/04
 菊地 俊介,J1,湘南,1991/10/04
 扇原 貴宏,J1,横浜FM,1991/10/05
 皆川 佑介,J2,熊本,1991/10/09
 椎名 伸志,J3,富山,1991/10/15
 小川 大貴,J1,磐田,1991/10/16
 高橋 祥平,J1,磐田,1991/10/27
 刀根 亮輔,J2,大分,1991/10/29
 碓井 鉄平,J3,群馬,1991/11/03
 碓井 鉄平,J1,群馬,1991/11/03
 沓掛 勇太,J3,沼津,1991/11/12
 寺岡 真弘,J3,長野,1991/11/13
 山本 大貴,J2,松本,1991/11/15
 戸高 弘貴,J2,町田,1991/11/18
 伊佐 耕平,J2,大分,1991/11/23
 高瀬 優孝,J2,熊本,1991/11/25
 片山 瑛一,J1,C大阪,1991/11/30
 長澤 和輝,J1,浦和,1991/12/16
 泉澤 仁,J1,東京V,1991/12/17
 泉澤 仁,J3,東京V,1991/12/17
 泉澤 仁,J2,東京V,1991/12/17
 福村 貴幸,J2,岐阜,1991/12/22
 柿木 亮介,J3,藤枝,1991/12/23
 稲垣 祥,J1,広島,1991/12/25
 阿部 正紀,J2,岐阜,1991/12/25
 都並 優太,J3,長野,1992/01/20
 藤嶋 栄介,J2,山口,1992/01/31
 シュミット ダニエル,J1,仙台,1992/02/03
 川島 將,J3,北九州,1992/02/04
 中山 仁斗,J2,山形,1992/02/06
 マウリシオ,J1,浦和,1992/02/06
 内田 達也,J2,東京V,1992/02/08
 福満 隆貴,J1,C大阪,1992/02/22
 キム ミンヒョク,J1,鳥栖,1992/02/27
 ユン イルロク,J1,横浜FM,1992/03/07
 キム ジョンピル,J2,徳島,1992/03/09
 クリスラン,J1,清水,1992/03/13
 マティアス カセラス,J2,京都,1992/03/20
 二見 宏志,J1,清水,1992/03/20
 江口 直生,J3,秋田,1992/03/22
 田向 泰輝,J2,水戸,1992/03/24
 田辺 圭佑,J2,熊本,1992/03/29
 松本 翔,J3,鳥取,1992/04/04
 車屋 紳太郎,J1,川崎F,1992/04/05
 浅沼 優瑠,J3,YS横浜,1992/04/12
 樋口 寛規,J3,福島,1992/04/16
 近藤 貴司,J2,愛媛,1992/04/26
 松藤 正伸,J3,沼津,1992/04/27
 大森 晃太郎,J1,FC東京,1992/04/28
 小牧 成亘,J3,藤枝,1992/04/28
 北爪 健吾,J2,横浜FC,1992/04/30
 福田 晃斗,J1,鳥栖,1992/05/01
 三上 陽輔,J3,長野,1992/05/05
 宮崎 泰右,J2,栃木,1992/05/05
 ホルヘ サリーナス,J2,千葉,1992/05/06
 下畠 翔吾,J2,京都,1992/05/08
 星野 有亮,J3,鳥取,1992/05/12
 アラン ピニェイロ,J2,東京V,1992/05/13
 仲間 隼斗,J2,岡山,1992/05/16
 三浦 龍輝,J1,磐田,1992/05/17
 土居 聖真,J1,鹿島,1992/05/21
 河津 良一,J3,盛岡,1992/05/22
 川岸 祐輔,J3,群馬,1992/05/26
 谷奥 健四郎,J3,富山,1992/05/28
 宗近 慧,J3,YS横浜,1992/05/29
 江坂 任,J1,柏,1992/05/31
 駒井 善成,J1,札幌,1992/06/06
 梅鉢 貴秀,J2,金沢,1992/06/08
 田中 達也,J2,熊本,1992/06/09
 増田 繁人,J2,岡山,1992/06/11
 ベン ハロラン,J1,長崎,1992/06/14
 岡本 拓也,J1,湘南,1992/06/18
 平石 直人,J3,秋田,1992/06/23
 広瀬 健太,J2,新潟,1992/06/26
 佐々木 陽次,J3,富山,1992/07/02
 香川 勇気,J1,長崎,1992/07/02
 牛之濵 拓,J2,栃木,1992/07/14
 小川 慶治朗,J1,湘南,1992/07/14
 朴 利基,J3,琉球,1992/07/18
 小牟田 洋佑,J3,群馬,1992/07/18
 廣木 雄磨,J2,山口,1992/07/23
 芦野 翔斗,J3,YS横浜,1992/07/24
 仲川 輝人,J1,横浜FM,1992/07/27
 星 雄次,J2,大分,1992/07/27
 星 広太,J3,福島,1992/07/27
 後藤 京介,J3,YS横浜,1992/07/29
 小島 秀仁,J2,千葉,1992/07/30
 宮吉 拓実,J1,札幌,1992/08/07
 夛田 凌輔,J2,栃木,1992/08/07
 小澤 章人,J3,長野,1992/08/10
 松原 修平,J3,群馬,1992/08/11
 畑本 時央,J3,盛岡,1992/08/18
 川﨑 裕大,J2,横浜FC,1992/08/20
 土館 賢人,J3,YS横浜,1992/08/23
 清水 慎太郎,J2,大宮,1992/08/23
 ファン ウィジョ,J1,G大阪,1992/08/28
 福森 直也,J2,大分,1992/08/29
 福田 友也,J3,盛岡,1992/09/10
 鈴木 義宜,J2,大分,1992/09/11
 楠元 秀真,J3,富山,1992/09/12
 伊藤 優汰,J2,新潟,1992/09/18
 河田 篤秀,J2,新潟,1992/09/18
 山﨑 凌吾,J2,湘南,1992/09/20
 山﨑 凌吾,J1,湘南,1992/09/20
 上形 洋介,J2,栃木,1992/09/25
 石川 慧,J2,栃木,1992/09/30
 ジェルソン ビエイラ,J2,山口,1992/10/04
 奥田 裕貴,J3,鳥取,1992/10/05
 秋山 貴嗣,J3,藤枝,1992/10/07
 鈴木 翔登,J2,熊本,1992/10/16
 伊藤 槙人,J2,水戸,1992/10/18
 吉田 眞紀人,J2,愛媛,1992/10/20
 谷口 智紀,J3,沼津,1992/10/22
 安楽 健太,J3,盛岡,1992/10/23
 吉濱 遼平,J2,町田,1992/10/24
 弓崎 恭平,J3,富山,1992/10/30
 酒井 宣福,J2,大宮,1992/11/09
 石原 崇兆,J2,松本,1992/11/17
 杉本 健勇,J1,C大阪,1992/11/18
 平松 宗,J1,長崎,1992/11/20
 田村 友,J2,山形,1992/11/22
 大武 峻,J2,新潟,1992/11/24
 高木 利弥,J2,柏,1992/11/25
 高木 利弥,J1,柏,1992/11/25
 禹 相皓,J2,愛媛,1992/12/07
 高木 善朗,J2,新潟,1992/12/09
 カルボン,J3,琉球,1992/12/10
 昌子 源,J1,鹿島,1992/12/11
 マラニョン,J2,金沢,1992/12/11
 進藤 誠司,J3,富山,1992/12/12
 堀米 勇輝,J2,甲府,1992/12/13
 福森 晃斗,J1,札幌,1992/12/16
 アンドリュー ナバウト,J1,浦和,1992/12/17
 藤原 拓也,J3,沼津,1992/12/18
 小野 裕二,J1,鳥栖,1992/12/22
 ジャイロ ロドリゲス,J2,山形,1992/12/31
 今瀬 淳也,J3,富山,1993/01/03
 森川 裕基,J2,讃岐,1993/01/07
 大島 僚太,J1,川崎F,1993/01/23
 太田 一輝,J3,沼津,1993/01/27
 櫛引 政敏,J2,山形,1993/01/29
 川森 有真,J3,鹿児島,1993/02/01
 遠藤 航,J1,浦和,1993/02/09
 櫛引 一紀,J1,名古屋,1993/02/12
 松原 健,J1,横浜FM,1993/02/16
 浜崎 拓磨,J2,水戸,1993/02/17
 吉満 大介,J2,山口,1993/02/21
 中野 嘉大,J1,仙台,1993/02/24
 伊東 純也,J1,柏,1993/03/09
 才藤 龍治,J3,富山,1993/03/12
 加藤 大樹,J2,金沢,1993/03/14
 前澤 甲気,J3,沼津,1993/03/21
 坂本 修佑,J3,沼津,1993/03/22
 田中 直基,J3,沼津,1993/03/29
 齋藤 恵太,J2,水戸,1993/03/31
 青島 拓馬,J3,秋田,1993/04/06
 端山 豪,J2,新潟,1993/04/09
 高橋 祐治,J1,鳥栖,1993/04/11
 茂 平,J3,北九州,1993/04/14
 風間 宏矢,J2,岐阜,1993/04/16
 ジュニオール バホス,J2,甲府,1993/04/19
 三鬼 海,J2,山形,1993/04/19
 山中 亮輔,J1,横浜FM,1993/04/20
 荒野 拓馬,J1,札幌,1993/04/20
 小野瀬 康介,J1,G大阪,1993/04/22
 小野瀬 康介,J2,G大阪,1993/04/22
 後藤 優介,J2,大分,1993/04/23
 小谷 光毅,J3,盛岡,1993/04/25
 エドゥアルド,J1,川崎F,1993/04/27
 田代 雅也,J2,栃木,1993/05/01
 水野 泰輔,J3,藤枝,1993/05/04
 幸野 志有人,J1,長崎,1993/05/04
 山越 康平,J2,大宮,1993/05/04
 南 秀仁,J2,山形,1993/05/05
 ゲリア,J2,千葉,1993/05/10
 犬飼 智也,J1,鹿島,1993/05/12
 レアンドロ,J1,鹿島,1993/05/12
 佐藤 和樹,J3,富山,1993/05/18
 白崎 凌兵,J1,清水,1993/05/18
 普光院 誠,J3,沼津,1993/05/20
 宮本 拓弥,J2,水戸,1993/05/21
 三幸 秀稔,J2,山口,1993/05/23
 亀川 諒史,J1,柏,1993/05/28
 杉本 竜士,J2,徳島,1993/06/01
 西村 洋平,J3,藤枝,1993/06/01
 遊馬 将也,J3,秋田,1993/06/04
 熊谷 アンドリュー,J2,千葉,1993/06/06
 清本 拓己,J2,大分,1993/06/07
 白石 智之,J3,盛岡,1993/06/10
 田尻 健,J2,金沢,1993/06/11
 薗田 卓馬,J2,鹿児島,1993/06/14
 イム ジンウ,J2,熊本,1993/06/15
 田上 大地,J1,長崎,1993/06/16
 八久保 颯,J2,熊本,1993/06/23
 石井 綾,J3,福島,1993/06/24
 渡 大生,J1,広島,1993/06/25
 差波 優人,J3,富山,1993/06/28
 稲葉 修土,J3,富山,1993/06/29
 中村 慶太,J1,長崎,1993/06/30
 増谷 幸祐,J3,琉球,1993/07/01
 西村 竜馬,J2,山形,1993/07/02
 鈴木 達也,J3,盛岡,1993/07/08
 アレックス,J3,鹿児島,1993/07/08
 ガブリエル シャビエル,J1,名古屋,1993/07/15
 高橋 諒,J1,湘南,1993/07/16
 アルヴァロ ロドリゲス,J2,山形,1993/07/19
 瀧澤 修平,J3,琉球,1993/07/19
 佐藤 祥,J2,水戸,1993/07/22
 奥山 政幸,J2,町田,1993/07/28
 國領 一平,J3,長野,1993/07/31
 榊 翔太,J2,栃木,1993/08/03
 木本 恭生,J1,C大阪,1993/08/06
 萱沼 優聖,J3,鹿児島,1993/08/06
 中島 宏海,J3,盛岡,1993/08/08
 富樫 敬真,J1,FC東京,1993/08/10
 富樫 敬真,J3,FC東京,1993/08/10
 橋本 拳人,J1,FC東京,1993/08/16
 原川 力,J1,鳥栖,1993/08/18
 ニウド,J3,福島,1993/08/23
 為田 大貴,J2,千葉,1993/08/24
 山岸 祐也,J2,岐阜,1993/08/29
 藤村 慶太,J2,金沢,1993/09/02
 伊東 幸敏,J1,鹿島,1993/09/03
 西野 貴治,J3,G大阪,1993/09/14
 前 貴之,J2,山口,1993/09/16
 韓 浩康,J3,秋田,1993/09/18
 奈良 竜樹,J1,川崎F,1993/09/19
 下坂 晃城,J2,町田,1993/09/25
 河合 秀人,J3,長野,1993/10/01
 西谷 優希,J2,栃木,1993/10/05
 西谷 和希,J2,栃木,1993/10/05
 チャナティップ,J1,札幌,1993/10/05
 澤上 竜二,J3,C大阪,1993/10/08
 湯澤 聖人,J2,甲府,1993/10/10
 田中 パウロ淳一,J2,岐阜,1993/10/23
 久保 海都,J3,盛岡,1993/11/05
 和泉 竜司,J1,名古屋,1993/11/06
 新井 一耀,J1,名古屋,1993/11/08
 知念 雄太朗,J3,琉球,1993/11/19
 キム ミンテ,J1,札幌,1993/11/26
 鈴木 雄斗,J1,川崎F,1993/12/07
 山根 視来,J1,湘南,1993/12/22
 呉屋 大翔,J2,徳島,1994/01/02
 脇本 晃成,J3,富山,1994/01/08
 小林 成豪,J2,山形,1994/01/08
 アデミウソン,J1,G大阪,1994/01/09
 ソン ジュフン,J2,新潟,1994/01/13
 矢島 慎也,J1,仙台,1994/01/18
 矢島 慎也,J3,仙台,1994/01/18
 チェ キュベック,J1,長崎,1994/01/23
 藤本 佳希,J2,愛媛,1994/02/03
 瀬川 祐輔,J1,柏,1994/02/07
 鈴木 椋大,J3,G大阪,1994/02/10
 井筒 陸也,J2,徳島,1994/02/10
 鈴木 武蔵,J1,長崎,1994/02/11
 荒木 大吾,J1,磐田,1994/02/17
 中村 駿,J2,山形,1994/02/24
 ダビド バブンスキー,J1,横浜FM,1994/03/01
 松下 佳貴,J1,神戸,1994/03/03
 長谷川 竜也,J1,川崎F,1994/03/07
 稲森 克尚,J3,盛岡,1994/03/08
 井出 遥也,J3,G大阪,1994/03/25
 井出 遥也,J1,G大阪,1994/03/25
 チョン スンヒョン,J1,鹿島,1994/04/03
 武田 将平,J2,岡山,1994/04/04
 金森 健志,J1,鹿島,1994/04/04
 北原 大奨,J3,YS横浜,1994/04/04
 川戸 大樹,J3,相模原,1994/04/05
 室屋 成,J1,FC東京,1994/04/05
 前田 央樹,J3,北九州,1994/04/09
 パク ジョンス,J1,柏,1994/04/12
 高柳 昂平,J3,盛岡,1994/04/14
 レンゾ ロペス,J2,京都,1994/04/16
 徳永 裕大,J3,相模原,1994/04/16
 宮地 元貴,J3,沼津,1994/04/17
 藤山 智史,J3,秋田,1994/04/23
 岡 佳樹,J3,沼津,1994/04/26
 前田 凌佑,J2,大分,1994/04/27
 ミロシュ デゲネク,J1,横浜FM,1994/04/28
 齊藤 隆成,J3,藤枝,1994/04/30
 白井 康介,J1,札幌,1994/05/01
 河面 旺成,J2,大宮,1994/05/03
 牲川 歩見,J3,沼津,1994/05/12
 小暮 大器,J2,愛媛,1994/05/17
 中原 彰吾,J1,長崎,1994/05/19
 永坂 勇人,J2,水戸,1994/05/22
 川口 尚紀,J2,新潟,1994/05/24
 木村 裕,J3,富山,1994/06/03
 野津田 岳人,J1,仙台,1994/06/06
 新井 幹人,J3,琉球,1994/06/14
 松村 亮,J3,長野,1994/06/15
 道渕 諒平,J2,甲府,1994/06/16
 丹羽 詩温,J2,愛媛,1994/06/18
 岩波 拓也,J1,浦和,1994/06/18
 和田 達也,J2,栃木,1994/06/21
 柳 育崇,J2,新潟,1994/06/22
 今関 耕平,J3,盛岡,1994/06/23
 平 秀斗,J3,福島,1994/06/25
 ク ソンユン,J1,札幌,1994/06/27
 福森 健太,J3,北九州,1994/07/04
 高柳 昌賢,J3,琉球,1994/07/11
 岩田 拓也,J3,群馬,1994/07/14
 塚川 孝輝,J2,岡山,1994/07/16
 三橋 秀平,J3,福島,1994/07/18
 溝渕 雄志,J2,千葉,1994/07/20
 西岡 大志,J3,琉球,1994/07/28
 外山 凌,J2,水戸,1994/07/29
 松本 孝平,J3,相模原,1994/07/31
 小塚 和季,J2,甲府,1994/08/02
 高井 和馬,J2,山口,1994/08/05
 安在 和樹,J1,鳥栖,1994/08/07
 畑 潤基,J3,沼津,1994/08/14
 野澤 英之,J2,愛媛,1994/08/15
 米原 祐,J3,相模原,1994/08/18
 喜田 拓也,J1,横浜FM,1994/08/23
 秋山 拓也,J2,甲府,1994/08/26
 曽根田 穣,J2,甲府,1994/08/29
 國分 伸太郎,J2,大分,1994/08/31
 飯田 貴敬,J1,清水,1994/08/31
 遠藤 元一,J3,長野,1994/09/09
 堀米 悠斗,J2,新潟,1994/09/09
 菅本 岳,J3,盛岡,1994/09/10
 野嶽 惇也,J3,鹿児島,1994/09/11
 マテウス,J2,大宮,1994/09/11
 神田 夢実,J2,愛媛,1994/09/14
 西山 雄介,J3,鳥取,1994/09/18
 藤嵜 智貴,J3,沼津,1994/09/19
 石毛 秀樹,J1,清水,1994/09/21
 ジエゴ,J2,甲府,1994/09/22
 大本 祐槻,J2,徳島,1994/09/24
 ジュニーニョ,J2,京都,1994/09/26
 橋口 拓哉,J2,町田,1994/09/27
 奥田 晃也,J3,YS横浜,1994/10/01
 山田 将之,J3,FC東京,1994/10/01
 森 俊介,J2,東京V,1994/10/04
 堀田 大暉,J3,福島,1994/10/05
 秋野 央樹,J1,湘南,1994/10/08
 中山 雄希,J2,鹿児島,1994/10/16
 千田 海人,J3,秋田,1994/10/17
 佐野 翼,J2,熊本,1994/10/18
 小出 悠太,J2,甲府,1994/10/20
 小林 祐介,J1,湘南,1994/10/23
 植田 直通,J1,鹿島,1994/10/24
 清永 丈瑠,J2,山口,1994/10/24
 川上 竜,J3,北九州,1994/10/25
 加納 錬,J3,相模原,1994/10/31
 甲斐 健太郎,J3,鳥取,1994/11/01
 中川 寛斗,J1,柏,1994/11/03
 池上 丈二,J2,山口,1994/11/06
 永井 堅梧,J3,富山,1994/11/06
 リンジェ ジャブラニ アリ,J3,YS横浜,1994/11/07
 吉野 恭平,J1,広島,1994/11/08
 新井 純平,J2,横浜FC,1994/11/12
 高野 遼,J2,甲府,1994/11/13
 前田 直輝,J2,名古屋,1994/11/17
 前田 直輝,J1,名古屋,1994/11/17
 田中 憧,J3,盛岡,1994/11/21
 前田 悠斗,J3,長野,1994/11/22
 大野 耀平,J2,京都,1994/12/06
 遠藤 純輝,J3,藤枝,1994/12/08
 福田 愛大,J3,琉球,1994/12/18
 吉田 直矢,J3,群馬,1994/12/20
 河野 諒祐,J3,YS横浜,1994/12/24
 ユ インス,J2,福岡,1994/12/28
 仙頭 啓矢,J2,京都,1994/12/29
 加藤 潤也,J3,鳥取,1994/12/30
 岡庭 裕貴,J3,群馬,1995/01/03
 エウレー,J2,福岡,1995/01/04
 永戸 勝也,J1,仙台,1995/01/15
 中島 大貴,J2,讃岐,1995/01/17
 望月 嶺臣,J2,京都,1995/01/18
 古橋 亨梧,J1,神戸,1995/01/20
 古橋 亨梧,J2,神戸,1995/01/20
 薮内 健人,J2,岐阜,1995/01/21
 松本 昌也,J1,磐田,1995/01/25
 谷村 憲一,J3,盛岡,1995/01/26
 田村 翔太,J3,福島,1995/02/04
 山内 寛史,J3,C大阪,1995/02/09
 山内 寛史,J1,C大阪,1995/02/09
 翁長 聖,J1,長崎,1995/02/23
 林 祥太,J2,熊本,1995/02/24
 チッキーニョ,J3,相模原,1995/02/26
 中村 航輔,J1,柏,1995/02/27
 ジョン チュングン,J2,岡山,1995/03/01
 三浦 弦太,J1,G大阪,1995/03/01
 ソン ヨンミン,J2,讃岐,1995/03/11
 深井 一希,J1,札幌,1995/03/11
 石井 光輝,J3,鳥取,1995/03/15
 知念 慶,J1,川崎F,1995/03/17
 ルーカス ダウベルマン,J3,富山,1995/03/18
 イッペイ シノヅカ,J1,横浜FM,1995/03/20
 澤井 直人,J2,東京V,1995/04/03
 矢島 輝一,J3,FC東京,1995/04/06
 矢島 輝一,J1,FC東京,1995/04/06
 毛利 駿也,J2,金沢,1995/04/10
 秋山 陽介,J1,名古屋,1995/04/13
 小泉 慶,J1,柏,1995/04/19
 ジャーメイン 良,J1,仙台,1995/04/19
 森 勇人,J1,G大阪,1995/04/21
 森 勇人,J3,G大阪,1995/04/21
 小屋松 知哉,J2,京都,1995/04/24
 北川 滉平,J3,藤枝,1995/04/29
 内田 裕斗,J2,徳島,1995/04/29
 金子 翔太,J1,清水,1995/05/02
 重廣 卓也,J2,京都,1995/05/05
 大山 啓輔,J2,大宮,1995/05/07
 坂 圭祐,J1,湘南,1995/05/07
 内山 裕貴,J3,鳥取,1995/05/07
 田村 亮介,J2,京都,1995/05/08
 鳥海 晃司,J2,千葉,1995/05/09
 守田 英正,J1,川崎F,1995/05/10
 ジェフェルソン バイアーノ,J2,水戸,1995/05/10
 菅嶋 弘希,J2,東京V,1995/05/11
 ターレス,J2,新潟,1995/05/18
 小林 智光,J3,鳥取,1995/05/30
 熱川 徳政,J3,沼津,1995/05/31
 安西 幸輝,J1,鹿島,1995/05/31
 宮市 剛,J3,盛岡,1995/06/01
 北川 柊斗,J2,山形,1995/06/01
 進 昂平,J3,YS横浜,1995/06/04
 松田 天馬,J1,湘南,1995/06/11
 川上 盛司,J3,藤枝,1995/06/20
 石井 圭太,J2,横浜FC,1995/06/22
 池谷 友喜,J2,熊本,1995/06/27
 木戸 皓貴,J2,福岡,1995/06/28
 磐瀬 剛,J2,京都,1995/06/28
 安東 輝,J2,松本,1995/06/28
 鈴木 国友,J1,湘南,1995/07/03
 中川 風希,J3,琉球,1995/07/03
 汰木 康也,J2,山形,1995/07/03
 浜下 瑛,J2,栃木,1995/07/05
 和田 凌,J3,琉球,1995/07/05
 三沢 直人,J3,YS横浜,1995/07/07
 今津 佑太,J2,甲府,1995/07/08
 武 颯,J3,福島,1995/07/17
 熊本 雄太,J2,山形,1995/07/18
 中野 誠也,J1,磐田,1995/07/23
 前 寛之,J2,水戸,1995/08/01
 魚里 直哉,J3,C大阪,1995/08/03
 渡邉 新太,J2,新潟,1995/08/05
 大津 耀誠,J3,相模原,1995/08/07
 柳下 大樹,J3,富山,1995/08/09
 チェ ジョンウォン,J2,岡山,1995/08/16
 北谷 史孝,J2,岐阜,1995/08/18
 ブエノ,J2,徳島,1995/08/24
 畠中 槙之輔,J2,東京V,1995/08/25
 小池 龍太,J1,柏,1995/08/29
 新里 涼,J1,長崎,1995/09/03
 下川 陽太,J2,松本,1995/09/07
 谷口 海斗,J3,盛岡,1995/09/07
 川辺 駿,J1,広島,1995/09/08
 藤原 奏哉,J3,北九州,1995/09/09
 徳元 悠平,J3,琉球,1995/09/12
 小泉 勇人,J3,盛岡,1995/09/14
 森本 大貴,J3,相模原,1995/09/15
 柳 雄太郎,J3,YS横浜,1995/09/18
 坂本 広大,J2,熊本,1995/09/20
 ジエゴ,J2,水戸,1995/09/21
 広瀬 陸斗,J2,徳島,1995/09/23
 古川 雅人,J3,相模原,1995/09/23
 大谷 尚輝,J2,町田,1995/09/24
 戸嶋 祥郎,J2,新潟,1995/09/26
 白井 永地,J2,水戸,1995/09/26
 竹下 玲王,J3,長野,1995/10/04
 高木 大輔,J2,山口,1995/10/14
 上村 周平,J2,熊本,1995/10/15
 福岡 将太,J2,栃木,1995/10/24
 福井 光輝,J2,町田,1995/11/04
 立花 歩夢,J2,横浜FC,1995/11/04
 米田 隼也,J1,長崎,1995/11/05
 オナイウ 阿道,J2,山口,1995/11/08
 太田 賢吾,J3,盛岡,1995/11/16
 田中 雄大,J3,相模原,1995/11/17
 三島 頌平,J2,岐阜,1995/11/20
 柴戸 海,J1,浦和,1995/11/24
 光永 祐也,J3,藤枝,1995/11/29
 嶋田 慎太郎,J2,大宮,1995/12/05
 堂安 憂,J3,長野,1995/12/14
 富樫 佑太,J3,琉球,1995/12/18
 リ ジンヒョク,J3,相模原,1995/12/20
 山﨑 浩介,J2,愛媛,1995/12/30
 金 成純,J3,琉球,1995/12/31
 丸岡 満,J2,山口,1996/01/06
 山口 一真,J1,鹿島,1996/01/17
 野口 航,J3,北九州,1996/01/18
 パク チャニョン,J2,讃岐,1996/01/27
 輪笠 祐士,J3,福島,1996/02/09
 ジョン ガブリエル,J3,相模原,1996/02/12
 杉本 太郎,J2,徳島,1996/02/12
 ンドカ ボニフェイス,J2,水戸,1996/02/15
 ミシャエル,J2,岐阜,1996/02/16
 永石 拓海,J3,C大阪,1996/02/16
 石川 大地,J2,岐阜,1996/02/22
 太田 修介,J2,甲府,1996/02/23
 平岡 翼,J3,FC東京,1996/02/23
 表原 玄太,J1,湘南,1996/02/28
 土居 柊太,J2,町田,1996/02/29
 高橋 壮也,J2,岡山,1996/02/29
 青木 亮太,J1,名古屋,1996/03/06
 平野 佑一,J2,水戸,1996/03/11
 山下 敬大,J2,山口,1996/03/13
 鈴木 拳士郎,J2,讃岐,1996/03/20
 宮原 和也,J1,名古屋,1996/03/22
 中谷 進之介,J1,名古屋,1996/03/24
 宮 大樹,J1,神戸,1996/04/01
 林 誠道,J3,鳥取,1996/04/04
 手塚 康平,J1,柏,1996/04/06
 三竿 健斗,J1,鹿島,1996/04/16
 名古 新太郎,J1,鹿島,1996/04/17
 仲村 京雅,J3,YS横浜,1996/04/25
 鈴木 優磨,J1,鹿島,1996/04/26
 乾 貴哉,J2,千葉,1996/05/12
 麦倉 捺木,J3,相模原,1996/05/22
