name_,category_,team_,birthdate_
 フェホ,J3,北九州,1985/04/20
 増嶋 竜也,J2,千葉,1985/04/22
 小林 竜樹,J3,群馬,1985/05/05
 マルセロ トスカーノ,J2,大宮,1985/05/12
 高橋 義希,J1,鳥栖,1985/05/14
 永田 亮太,J2,讃岐,1985/05/17
 イバ,J2,横浜FC,1985/05/21
 山本 脩斗,J1,鹿島,1985/06/01
 ルーカス ポドルスキ,J1,神戸,1985/06/04
 千葉 和彦,J1,広島,1985/06/21
 菊岡 拓朗,J3,相模原,1985/06/30
 馬場 賢治,J2,大分,1985/07/07
 田坂 祐介,J1,川崎F,1985/07/08
 鴨志田 誉,J3,福島,1985/07/09
 山本 海人,J2,横浜FC,1985/07/10
 苔口 卓也,J3,富山,1985/07/13
 澤口 雅彦,J2,岡山,1985/07/22
 鎌田 次郎,J1,柏,1985/07/28
 兵藤 慎剛,J1,札幌,1985/07/29
 ベサルト ベリーシャ,J1,広島,1985/07/29
 伊野波 雅彦,J1,神戸,1985/08/28
 中町 公祐,J1,横浜FM,1985/09/01
 河本 裕之,J2,大宮,1985/09/04
 水野 晃樹,J2,熊本,1985/09/06
 小椋 祥平,J2,甲府,1985/09/08
 松井 謙弥,J2,水戸,1985/09/10
 水本 裕貴,J1,広島,1985/09/12
 石川 直樹,J1,札幌,1985/09/13
 飯田 真輝,J2,松本,1985/09/15
 早坂 良太,J1,札幌,1985/09/19
 石井 秀典,J2,徳島,1985/09/23
 梶山 陽平,J3,新潟,1985/09/24
 梶山 陽平,J2,新潟,1985/09/24
 田中 秀人,J3,鹿児島,1985/11/08
 菅 和範,J2,栃木,1985/11/11
 小林 祐三,J1,鳥栖,1985/11/15
 古部 健太,J2,山形,1985/11/30
 有薗 真吾,J3,北九州,1985/12/04
 勝又 慶典,J3,長野,1985/12/07
 清水 慶記,J3,秋田,1985/12/10
 菊地 光将,J2,大宮,1985/12/16
 李 忠成,J1,浦和,1985/12/19
 辻尾 真二,J3,相模原,1985/12/23
 レオ シルバ,J1,鹿島,1985/12/24
 関口 訓充,J1,仙台,1985/12/26
 ネイツ ペチュニク,J2,栃木,1986/01/03
 船谷 圭祐,J2,水戸,1986/01/07
 田上 裕,J3,鹿児島,1986/01/12
 丹羽 竜平,J3,相模原,1986/01/13
 丹羽 大輝,J1,FC東京,1986/01/16
 田中 佑昌,J2,甲府,1986/02/03
 エデル リマ,J2,甲府,1986/02/05
 佐藤 優也,J2,千葉,1986/02/10
 萬代 宏樹,J3,長野,1986/02/19
 岩間 雄大,J2,松本,1986/02/21
 青山 敏弘,J1,広島,1986/02/22
 関 憲太郎,J1,仙台,1986/03/09
 上里 一将,J2,熊本,1986/03/13
 土岐田 洸平,J2,町田,1986/03/16
 高崎 寛之,J2,松本,1986/03/17
 吉井 孝輔,J3,鹿児島,1986/03/19
 ヤン ドンヒョン,J1,C大阪,1986/03/28
 藤本 康太,J3,C大阪,1986/04/02
 藤本 康太,J1,C大阪,1986/04/02
 工藤 祐生,J3,相模原,1986/04/05
 森脇 良太,J1,浦和,1986/04/06
 田所 諒,J2,横浜FC,1986/04/08
 中村 祐也,J2,町田,1986/04/14
 田中 裕介,J1,C大阪,1986/04/14
 趙 東建,J1,鳥栖,1986/04/16
 城後 寿,J2,福岡,1986/04/16
 福田 俊介,J3,北九州,1986/04/17
 シシーニョ,J2,徳島,1986/04/22
 狩野 健太,J2,徳島,1986/05/02
 津田 知宏,J3,長野,1986/05/06
 藤田 優人,J1,鳥栖,1986/05/08
 上田 康太,J2,岡山,1986/05/09
 森下 俊,J1,磐田,1986/05/11
 東口 順昭,J1,G大阪,1986/05/12
 平岡 康裕,J1,仙台,1986/05/23
 飯倉 大樹,J1,横浜FM,1986/06/01
 細貝 萌,J1,柏,1986/06/10
 家長 昭博,J1,川崎F,1986/06/13
 都倉 賢,J1,札幌,1986/06/16
 西川 周作,J1,浦和,1986/06/18
 富田 晋伍,J1,仙台,1986/06/20
 武岡 優斗,J1,川崎F,1986/06/24
 カルロス マルティネス,J2,東京V,1986/06/27
 カルフィン ヨン ア ピン,J2,横浜FC,1986/07/18
 竹田 忠嗣,J2,岐阜,1986/07/27
 興梠 慎三,J1,浦和,1986/07/31
 髙萩 洋次郎,J1,FC東京,1986/08/02
 ジュリーニョ,J1,札幌,1986/08/05
 渡邉 千真,J1,神戸,1986/08/10
 大屋 翼,J2,徳島,1986/08/13
 ブルーノ ロペス,J2,山形,1986/08/19
 佐藤 昭大,J2,熊本,1986/08/30
 渡邊 一仁,J2,横浜FC,1986/09/01
 林 陵平,J2,東京V,1986/09/08
 後藤 圭太,J2,岡山,1986/09/08
 橋本 和,J1,神戸,1986/09/14
 西田 剛,J2,愛媛,1986/09/14
 髙柳 一誠,J2,山口,1986/09/14
 岩下 敬輔,J2,福岡,1986/09/24
 上原 慎也,J2,愛媛,1986/09/29
